index,forest_length,likelihood,prior,posterior,leaves
549,0.905826,-2447.7,-13.9261,-2461.63,"{t2|t3|t4}|{t1}"
550,1.00359,-2336.66,-13.9244,-2350.59,"{t3|t4}|{t1|t2}"
551,1.08424,-2336.7,-13.9451,-2350.64,"{t3|t4}|{t1|t2}"
552,0.889384,-2324.66,-13.9308,-2338.59,"{t1|t2|t3}|{t4}"
553,1.06863,-2551.46,-13.9267,-2565.38,"{t1|t3|t4}|{t2}"
554,0.999031,-2447.46,-13.9358,-2461.39,"{t2|t3|t4}|{t1}"
555,1.07899,-2327.31,-13.9423,-2341.25,"{t1|t2|t3}|{t4}"
556,1.11217,-2552.44,-13.928,-2566.37,"{t1|t3|t4}|{t2}"
557,1.0918,-2550.46,-13.9263,-2564.39,"{t1|t3|t4}|{t2}"
558,0.963825,-2337.42,-13.9268,-2351.35,"{t3|t4}|{t1|t2}"
559,1.00973,-2324,-13.9418,-2337.94,"{t1|t2|t3}|{t4}"
560,0.5942,-2188.73,-13.9318,-2202.66,"{t1|t2|t4}|{t3}"
561,0.573886,-2189.15,-13.9276,-2203.07,"{t1|t2|t4}|{t3}"
562,0.527578,-2189.82,-13.9186,-2203.74,"{t1|t2|t4}|{t3}"
563,1.09379,-2337.05,-13.933,-2350.99,"{t3|t4}|{t1|t2}"
564,1.00321,-2336.17,-13.9279,-2350.09,"{t3|t4}|{t1|t2}"
565,0.875061,-2448.66,-13.9195,-2462.58,"{t2|t3|t4}|{t1}"
566,1.1096,-2551.01,-13.9295,-2564.94,"{t1|t3|t4}|{t2}"
567,0.847132,-2325.91,-13.9235,-2339.83,"{t1|t2|t3}|{t4}"
568,1.1292,-2551.58,-13.9298,-2565.51,"{t1|t3|t4}|{t2}"
569,1.20538,-2549.7,-13.9383,-2563.63,"{t1|t3|t4}|{t2}"
570,0.490852,-2192.74,-13.9319,-2206.67,"{t1|t2|t4}|{t3}"
571,0.986867,-2448.27,-13.9323,-2462.2,"{t2|t3|t4}|{t1}"
572,0.790635,-2452.96,-13.9102,-2466.87,"{t2|t3|t4}|{t1}"
573,0.584331,-2188.61,-13.9296,-2202.54,"{t1|t2|t4}|{t3}"
574,0.531376,-2189,-13.9287,-2202.93,"{t1|t2|t4}|{t3}"
575,0.938634,-2322.67,-13.9299,-2336.6,"{t1|t2|t3}|{t4}"
576,0.876585,-2448.42,-13.9231,-2462.34,"{t2|t3|t4}|{t1}"
577,0.959139,-2323.08,-13.9302,-2337.01,"{t1|t2|t3}|{t4}"
578,1.15017,-2338.41,-13.9369,-2352.34,"{t3|t4}|{t1|t2}"
579,1.01683,-2325.18,-13.9403,-2339.13,"{t1|t2|t3}|{t4}"
580,0.958734,-2447.49,-13.9278,-2461.42,"{t2|t3|t4}|{t1}"
581,1.06804,-2449.09,-13.9422,-2463.03,"{t2|t3|t4}|{t1}"
582,1.00012,-2338.38,-13.9312,-2352.31,"{t3|t4}|{t1|t2}"
583,0.954376,-2322.6,-13.9321,-2336.54,"{t1|t2|t3}|{t4}"
584,0.954158,-2447.1,-13.9327,-2461.03,"{t2|t3|t4}|{t1}"
585,0.900246,-2324.77,-13.9256,-2338.69,"{t1|t2|t3}|{t4}"
586,1.02343,-2447.21,-13.9368,-2461.15,"{t2|t3|t4}|{t1}"
587,0.544224,-2189.72,-13.9256,-2203.65,"{t1|t2|t4}|{t3}"
588,1.07903,-2550.65,-13.9266,-2564.58,"{t1|t3|t4}|{t2}"
589,0.927551,-2337.22,-13.924,-2351.14,"{t3|t4}|{t1|t2}"
590,0.851032,-2324.43,-13.9323,-2338.36,"{t1|t2|t3}|{t4}"
591,0.89075,-2337.82,-13.9185,-2351.74,"{t3|t4}|{t1|t2}"
592,1.17939,-2550.14,-13.9363,-2564.07,"{t1|t3|t4}|{t2}"
593,0.989286,-2336.35,-13.9271,-2350.28,"{t3|t4}|{t1|t2}"
594,0.894398,-2323.17,-13.9336,-2337.1,"{t1|t2|t3}|{t4}"
595,1.08957,-2550.6,-13.9288,-2564.53,"{t1|t3|t4}|{t2}"
596,0.515049,-2191.46,-13.923,-2205.38,"{t1|t2|t4}|{t3}"
597,0.926965,-2323.21,-13.9331,-2337.14,"{t1|t2|t3}|{t4}"
598,0.869815,-2326.11,-13.9206,-2340.03,"{t1|t2|t3}|{t4}"
599,1.01588,-2553.62,-13.9191,-2567.54,"{t1|t3|t4}|{t2}"
600,0.474567,-2191.89,-13.9157,-2205.8,"{t1|t2|t4}|{t3}"
601,0.535772,-2189.22,-13.9279,-2203.15,"{t1|t2|t4}|{t3}"
602,0.599642,-2189.04,-13.9352,-2202.98,"{t1|t2|t4}|{t3}"
603,0.913018,-2322.86,-13.928,-2336.78,"{t1|t2|t3}|{t4}"
604,1.09256,-2337.15,-13.9349,-2351.08,"{t3|t4}|{t1|t2}"
605,1.03604,-2336.46,-13.935,-2350.39,"{t3|t4}|{t1|t2}"
606,0.950198,-2447.76,-13.9297,-2461.68,"{t2|t3|t4}|{t1}"
607,0.821244,-2324.6,-13.9233,-2338.52,"{t1|t2|t3}|{t4}"
608,0.825013,-2325.12,-13.9214,-2339.05,"{t1|t2|t3}|{t4}"
