index,forest_length,likelihood,prior,posterior,leaves
83,3.46024,-5276.6,-41.7976,-5318.4,"{t1|t10|t3|t4|t5|t6|t7|t8|t9}|{t2}"
84,3.22616,-5054.89,-41.7878,-5096.68,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
85,3.29431,-5089.4,-41.7921,-5131.19,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
86,3.22486,-5112.68,-41.7929,-5154.47,"{t1|t10|t2|t3|t4|t5|t6|t7|t8}|{t9}"
87,3.12084,-5375.45,-41.7632,-5417.21,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
88,3.40414,-5316.51,-41.7987,-5358.31,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
89,3.37836,-5314.71,-41.7969,-5356.51,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
90,3.24568,-5086.44,-41.791,-5128.23,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
91,3.062,-5092.25,-41.7664,-5134.02,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
92,3.26043,-5105.45,-41.7938,-5147.24,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
93,3.22581,-5314.57,-41.782,-5356.35,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
94,3.3038,-5056.27,-41.7975,-5098.07,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
95,3.34449,-5103.49,-41.7989,-5145.29,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
96,3.20496,-5053.57,-41.7847,-5095.36,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
97,3.61421,-5360.02,-41.8143,-5401.84,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
98,3.30782,-5368.16,-41.7842,-5409.95,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
99,3.28025,-5090.63,-41.8006,-5132.43,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
100,3.16001,-5455.33,-41.7634,-5497.09,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
101,3.421,-5314.39,-41.8045,-5356.19,"{t1|t10|t2|t3|t4|t5|t6|t7|t9}|{t8}"
102,3.24114,-5042.04,-41.7793,-5083.82,"{t10|t4|t5|t6|t8|t9}|{t1|t2|t3|t7}"
103,3.22717,-5103.56,-41.7877,-5145.35,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
104,3.64565,-5373.94,-41.8148,-5415.75,"{t1|t10|t2|t3|t4|t6|t7|t8|t9}|{t5}"
105,3.26368,-5100.55,-41.7933,-5142.34,"{t1|t10|t2|t3|t4|t5|t7|t8}|{t6|t9}"
106,3.32636,-5058.54,-41.8,-5100.34,"{t1|t10|t2|t3|t6|t7|t9}|{t4|t5|t8}"
107,2.94776,-5005.2,-41.7908,-5047,"{t1|t10|t2|t4|t5|t6|t7|t8|t9}|{t3}"
108,3.04451,-5094.59,-41.7678,-5136.36,"{t1|t10|t3|t4|t5|t6|t8|t9}|{t2|t7}"
109,3.2389,-5057.05,-41.8055,-5098.85,"{t10|t2|t3|t4|t5|t6|t7|t8|t9}|{t1}"
110,3.35589,-5454.15,-41.7835,-5495.94,"{t1|t10|t2|t3|t5|t6|t7|t8|t9}|{t4}"
111,3.18496,-5029.98,-41.786,-5071.76,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
112,3.18107,-5034.98,-41.7885,-5076.77,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
113,2.9924,-5034.6,-41.7622,-5076.36,"{t10|t3|t4|t5|t6|t8|t9}|{t1|t2|t7}"
114,3.25178,-5359.27,-41.7764,-5401.05,"{t1|t10|t2|t3|t5|t6|t7|t9}|{t4|t8}"
115,3.54693,-5118.94,-41.8073,-5160.75,"{t1|t2|t3|t4|t5|t6|t7|t8|t9}|{t10}"
